filepath,dataset,speaker_id,actor_gender,native_label,canonical_label,native_intensity,canonical_intensity,duration_sec,split
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-01-01-02-01.wav,ravdess,1,male,sad,sad,normal,low,3.5702291666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-01-02-01-01.wav,ravdess,1,male,sad,sad,normal,low,3.5035,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-01-02-02-01.wav,ravdess,1,male,sad,sad,normal,low,3.370041666666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-02-01-01-01.wav,ravdess,1,male,sad,sad,strong,high,3.8037916666666662,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-02-01-02-01.wav,ravdess,1,male,sad,sad,strong,high,3.703708333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-02-02-01-01.wav,ravdess,1,male,sad,sad,strong,high,3.7370833333333335,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-02-02-02-01.wav,ravdess,1,male,sad,sad,strong,high,3.7370625,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-01-01-01-01.wav,ravdess,1,male,angry,angry,normal,low,3.8705416666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-01-01-02-01.wav,ravdess,1,male,angry,angry,normal,low,3.937270833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-01-02-01-01.wav,ravdess,1,male,angry,angry,normal,low,3.5035,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-01-02-02-01.wav,ravdess,1,male,angry,angry,normal,low,3.7370625,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-02-01-01-01.wav,ravdess,1,male,angry,angry,strong,high,4.104104166666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-02-01-02-01.wav,ravdess,1,male,angry,angry,strong,high,4.371041666666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-02-02-01-01.wav,ravdess,1,male,angry,angry,strong,high,4.137458333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-02-02-02-01.wav,ravdess,1,male,angry,angry,strong,high,4.437770833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-01-01-01-01.wav,ravdess,1,male,fear,fear,normal,low,3.670333333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-01-01-02-01.wav,ravdess,1,male,fear,fear,normal,low,3.636979166666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-01-02-01-01.wav,ravdess,1,male,fear,fear,normal,low,3.4367708333333336,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-01-02-02-01.wav,ravdess,1,male,fear,fear,normal,low,3.7036875,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-02-01-01-01.wav,ravdess,1,male,fear,fear,strong,high,5.005,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-02-01-02-01.wav,ravdess,1,male,fear,fear,strong,high,4.2375625,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-02-02-01-01.wav,ravdess,1,male,fear,fear,strong,high,3.970625,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-02-02-02-01.wav,ravdess,1,male,fear,fear,strong,high,3.9039166666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-01-01-01-01.wav,ravdess,1,male,disgust,disgust,normal,low,3.870520833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-01-01-02-01.wav,ravdess,1,male,disgust,disgust,normal,low,3.903895833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-01-02-01-01.wav,ravdess,1,male,disgust,disgust,normal,low,3.903895833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-01-02-02-01.wav,ravdess,1,male,disgust,disgust,normal,low,3.8371666666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-02-01-01-01.wav,ravdess,1,male,disgust,disgust,strong,high,4.304291666666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-02-01-02-01.wav,ravdess,1,male,disgust,disgust,strong,high,4.104104166666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-02-02-01-01.wav,ravdess,1,male,disgust,disgust,strong,high,4.037375,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-02-02-02-01.wav,ravdess,1,male,disgust,disgust,strong,high,4.371020833333334,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-08-01-01-01-01.wav,ravdess,1,male,surprise,surprise,normal,low,3.403395833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-08-01-01-02-01.wav,ravdess,1,male,surprise,surprise,normal,low,3.2699166666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-08-01-02-01-01.wav,ravdess,1,male,surprise,surprise,normal,low,3.536875,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-08-01-02-02-01.wav,ravdess,1,male,surprise,surprise,normal,low,3.2699166666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-08-02-01-01-01.wav,ravdess,1,male,surprise,surprise,strong,high,3.43675,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-08-02-01-02-01.wav,ravdess,1,male,surprise,surprise,strong,high,3.5702291666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-08-02-02-01-01.wav,ravdess,1,male,surprise,surprise,strong,high,3.5035,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-08-02-02-02-01.wav,ravdess,1,male,surprise,surprise,strong,high,3.2699375,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-01-01-01-01-04.wav,ravdess,4,female,neutral,neutral,normal,low,3.3032916666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-01-01-01-02-04.wav,ravdess,4,female,neutral,neutral,normal,low,3.370041666666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-01-01-02-01-04.wav,ravdess,4,female,neutral,neutral,normal,low,3.2699375,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-01-01-02-02-04.wav,ravdess,4,female,neutral,neutral,normal,low,3.2365625,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-02-01-01-01-04.wav,ravdess,4,female,calm,neutral,normal,low,3.8037916666666662,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-02-01-01-02-04.wav,ravdess,4,female,calm,neutral,normal,low,3.7370625,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-02-01-02-01-04.wav,ravdess,4,female,calm,neutral,normal,low,3.636979166666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-02-01-02-02-04.wav,ravdess,4,female,calm,neutral,normal,low,3.57025,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-02-02-01-01-04.wav,ravdess,4,female,calm,neutral,strong,high,3.970625,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-02-02-01-02-04.wav,ravdess,4,female,calm,neutral,strong,high,3.8038125,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-02-02-02-01-04.wav,ravdess,4,female,calm,neutral,strong,high,3.8037916666666662,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-02-02-02-02-04.wav,ravdess,4,female,calm,neutral,strong,high,4.037375,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-03-01-01-01-04.wav,ravdess,4,female,happy,happy,normal,low,3.5035,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-03-01-01-02-04.wav,ravdess,4,female,happy,happy,normal,low,3.536854166666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-03-01-02-01-04.wav,ravdess,4,female,happy,happy,normal,low,3.5035,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-03-01-02-02-04.wav,ravdess,4,female,happy,happy,normal,low,3.4367708333333336,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-03-02-01-01-04.wav,ravdess,4,female,happy,happy,strong,high,3.8705416666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-03-02-01-02-04.wav,ravdess,4,female,happy,happy,strong,high,3.5702291666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-03-02-02-01-04.wav,ravdess,4,female,happy,happy,strong,high,3.6036041666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-03-02-02-02-04.wav,ravdess,4,female,happy,happy,strong,high,3.7704166666666663,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-04-01-01-01-04.wav,ravdess,4,female,sad,sad,normal,low,3.370041666666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-04-01-01-02-04.wav,ravdess,4,female,sad,sad,normal,low,3.403395833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-04-01-02-01-04.wav,ravdess,4,female,sad,sad,normal,low,3.4367708333333336,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-04-01-02-02-04.wav,ravdess,4,female,sad,sad,normal,low,3.470125,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-04-02-01-01-04.wav,ravdess,4,female,sad,sad,strong,high,3.670333333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-04-02-01-02-04.wav,ravdess,4,female,sad,sad,strong,high,3.7704375,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-04-02-02-01-04.wav,ravdess,4,female,sad,sad,strong,high,3.7704375,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-04-02-02-02-04.wav,ravdess,4,female,sad,sad,strong,high,3.7704375,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-05-01-01-01-04.wav,ravdess,4,female,angry,angry,normal,low,3.703708333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-05-01-01-02-04.wav,ravdess,4,female,angry,angry,normal,low,3.6036041666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-05-01-02-01-04.wav,ravdess,4,female,angry,angry,normal,low,3.470125,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-05-01-02-02-04.wav,ravdess,4,female,angry,angry,normal,low,3.7370625,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-05-02-01-01-04.wav,ravdess,4,female,angry,angry,strong,high,3.7704375,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-05-02-01-02-04.wav,ravdess,4,female,angry,angry,strong,high,3.870520833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-05-02-02-01-04.wav,ravdess,4,female,angry,angry,strong,high,3.7036875,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-05-02-02-02-04.wav,ravdess,4,female,angry,angry,strong,high,3.8371666666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-06-01-01-01-04.wav,ravdess,4,female,fear,fear,normal,low,3.3032916666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-06-01-01-02-04.wav,ravdess,4,female,fear,fear,normal,low,3.2365833333333334,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-06-01-02-01-04.wav,ravdess,4,female,fear,fear,normal,low,3.470125,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-06-01-02-02-04.wav,ravdess,4,female,fear,fear,normal,low,3.470125,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-06-02-01-01-04.wav,ravdess,4,female,fear,fear,strong,high,3.937270833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-06-02-01-02-04.wav,ravdess,4,female,fear,fear,strong,high,3.403395833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-06-02-02-01-04.wav,ravdess,4,female,fear,fear,strong,high,3.6036041666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-06-02-02-02-04.wav,ravdess,4,female,fear,fear,strong,high,3.5702291666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-07-01-01-01-04.wav,ravdess,4,female,disgust,disgust,normal,low,3.9039166666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-07-01-01-02-04.wav,ravdess,4,female,disgust,disgust,normal,low,3.903895833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-07-01-02-01-04.wav,ravdess,4,female,disgust,disgust,normal,low,3.7704375,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-07-01-02-02-04.wav,ravdess,4,female,disgust,disgust,normal,low,3.8038125,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-07-02-01-01-04.wav,ravdess,4,female,disgust,disgust,strong,high,4.004,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-07-02-01-02-04.wav,ravdess,4,female,disgust,disgust,strong,high,4.037375,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-07-02-02-01-04.wav,ravdess,4,female,disgust,disgust,strong,high,3.8705416666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-07-02-02-02-04.wav,ravdess,4,female,disgust,disgust,strong,high,3.937270833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-08-01-01-01-04.wav,ravdess,4,female,surprise,surprise,normal,low,3.2365833333333334,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-08-01-01-02-04.wav,ravdess,4,female,surprise,surprise,normal,low,3.3366666666666664,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-08-01-02-01-04.wav,ravdess,4,female,surprise,surprise,normal,low,3.636958333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-08-01-02-02-04.wav,ravdess,4,female,surprise,surprise,normal,low,3.43675,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-08-02-01-01-04.wav,ravdess,4,female,surprise,surprise,strong,high,3.670333333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-08-02-01-02-04.wav,ravdess,4,female,surprise,surprise,strong,high,3.5702291666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-08-02-02-01-04.wav,ravdess,4,female,surprise,surprise,strong,high,3.470125,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_04\03-01-08-02-02-02-04.wav,ravdess,4,female,surprise,surprise,strong,high,3.536854166666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-01-01-01-01-06.wav,ravdess,6,female,neutral,neutral,normal,low,3.3366666666666664,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-01-01-01-02-06.wav,ravdess,6,female,neutral,neutral,normal,low,3.6036041666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-01-01-02-01-06.wav,ravdess,6,female,neutral,neutral,normal,low,3.403395833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-01-01-02-02-06.wav,ravdess,6,female,neutral,neutral,normal,low,3.4367708333333336,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-02-01-01-01-06.wav,ravdess,6,female,calm,neutral,normal,low,4.037354166666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-02-01-01-02-06.wav,ravdess,6,female,calm,neutral,normal,low,4.104104166666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-02-01-02-01-06.wav,ravdess,6,female,calm,neutral,normal,low,3.970625,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-02-01-02-02-06.wav,ravdess,6,female,calm,neutral,normal,low,4.2041875,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-02-02-01-01-06.wav,ravdess,6,female,calm,neutral,strong,high,4.5045,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-02-02-01-02-06.wav,ravdess,6,female,calm,neutral,strong,high,4.637979166666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-02-02-02-01-06.wav,ravdess,6,female,calm,neutral,strong,high,4.337666666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-02-02-02-02-06.wav,ravdess,6,female,calm,neutral,strong,high,4.7714375,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-03-01-01-01-06.wav,ravdess,6,female,happy,happy,normal,low,3.536854166666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-03-01-01-02-06.wav,ravdess,6,female,happy,happy,normal,low,3.6036041666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-03-01-02-01-06.wav,ravdess,6,female,happy,happy,normal,low,3.470125,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-03-01-02-02-06.wav,ravdess,6,female,happy,happy,normal,low,3.4367708333333336,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-03-02-01-01-06.wav,ravdess,6,female,happy,happy,strong,high,3.5035,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-03-02-01-02-06.wav,ravdess,6,female,happy,happy,strong,high,3.470125,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-03-02-02-01-06.wav,ravdess,6,female,happy,happy,strong,high,3.5702291666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-03-02-02-02-06.wav,ravdess,6,female,happy,happy,strong,high,3.603583333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-04-01-01-01-06.wav,ravdess,6,female,sad,sad,normal,low,3.5702291666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-04-01-01-02-06.wav,ravdess,6,female,sad,sad,normal,low,3.6036041666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-04-01-02-01-06.wav,ravdess,6,female,sad,sad,normal,low,3.470145833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-04-01-02-02-06.wav,ravdess,6,female,sad,sad,normal,low,3.4367708333333336,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-04-02-01-01-06.wav,ravdess,6,female,sad,sad,strong,high,4.2041875,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-04-02-01-02-06.wav,ravdess,6,female,sad,sad,strong,high,4.104104166666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-04-02-02-01-06.wav,ravdess,6,female,sad,sad,strong,high,4.604583333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-04-02-02-02-06.wav,ravdess,6,female,sad,sad,strong,high,4.037354166666667,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-05-01-01-01-06.wav,ravdess,6,female,angry,angry,normal,low,3.7704375,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-05-01-01-02-06.wav,ravdess,6,female,angry,angry,normal,low,3.970625,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-05-01-02-01-06.wav,ravdess,6,female,angry,angry,normal,low,4.2041875,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_06\03-01-05-01-02-02-06.wav,ravdess,6,female,angry,angry,normal,low,3.903895833333333,train
